model,recall,f2,f1,pr_auc,roc_auc,precision,accuracy,features,best_params,cv_best_score,conf_matrix,search_time
Logistic Regression (Core + Interactions),0.9621262458471761,0.8174325392345039,0.6669737448180562,0.4442620872583259,0.8883351492154139,0.5103983080719069,0.838128288368969,6,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9621262458471762,"[[6039, 1389], [57, 1448]]",0.7488923072814941
Logistic Regression with Interaction (Feature Selection),0.9601328903654485,0.8191609977324263,0.6713124274099885,0.45235141302204607,0.8916664430358686,0.5160714285714286,0.8415985671107131,10,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.9601328903654485,"[[6073, 1355], [60, 1445]]",2.6703813076019287
Logistic Regression (Core + Interactions + Burnout),0.9514950166112957,0.825836216839677,0.6892900120336942,0.5024249710918932,0.9031773463790596,0.540377358490566,0.8554796820776894,6,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.9514950166112957,"[[6210, 1218], [73, 1432]]",0.8865029811859131
Logistic Regression (base),0.9475083056478405,0.7962032384142936,0.6423423423423423,0.46450413025540055,0.8913882463230625,0.4858603066439523,0.8222321728422702,18,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9475083056478406,"[[5919, 1509], [79, 1426]]",5.255587577819824
Logistic Regression (Minimal Base),0.9441860465116279,0.8011953089760938,0.6528830691477142,0.44075874654206126,0.8829557550938624,0.49894662921348315,0.8308518974588605,6,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.944186046511628,"[[6001, 1427], [84, 1421]]",0.41997361183166504
Decision Tree (Core + Burnout),0.943502824858757,0.8870396600566572,0.8139723801787165,0.8085720869392733,0.9562573224980179,0.7157142857142857,0.9283778148457048,7,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9434948049131524,"[[7402, 597], [90, 1503]]",3.42681622505188
Decision Tree (base),0.9422473320778405,0.8811788188329223,0.803103263777421,0.7515289694067806,0.9455508680581306,0.6997668997668998,0.9232693911592994,18,"{'model__class_weight': 'balanced', 'model__max_depth': 4, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9422428579878156,"[[7355, 644], [92, 1501]]",3.081794023513794
Random Forest (Core + Burnout),0.9409918392969241,0.8963166706529538,0.8367289980463299,0.9311315740157652,0.9769805265206173,0.7532663316582915,0.9390116763969975,7,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.940990911062479,"[[7508, 491], [94, 1499]]",71.972421169281
Logistic Regression (Minimal Interaction),0.9408637873754153,0.7946127946127947,0.6443686006825939,0.4288052958780435,0.8771671166118323,0.48996539792387545,0.8250307847307735,6,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9408637873754152,"[[5954, 1474], [89, 1416]]",0.6645500659942627
Random Forest (base),0.9403640929064658,0.8637988697958714,0.7697841726618705,0.846457273048049,0.9641691322526428,0.6515876468029578,0.9065888240200167,18,"{'model__n_estimators': 500, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 3, 'model__class_weight': 'balanced'}",0.9403540939650243,"[[7198, 801], [95, 1498]]",198.1487171649933
