model,recall,f1,roc_auc,precision,accuracy,features,best_params,cv_best_score,conf_matrix,search_time
Logistic Regression (Core + Interactions),0.9621262458471761,0.6669737448180562,0.8883351492154139,0.5103983080719069,0.838128288368969,6,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9621262458471762,"[[6039, 1389], [57, 1448]]",0.9775390625
Logistic Regression (Core + Interactions + Burnout),0.9514950166112957,0.6892900120336942,0.9031773463790596,0.540377358490566,0.8554796820776894,6,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.9514950166112957,"[[6210, 1218], [73, 1432]]",1.138892650604248
Decision Tree (Core + Burnout),0.943502824858757,0.8139723801787165,0.9562573224980179,0.7157142857142857,0.9283778148457048,7,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9434948049131524,"[[7402, 597], [90, 1503]]",3.8672406673431396
Random Forest (Core + Burnout),0.9409918392969241,0.8367289980463299,0.9769805265206173,0.7532663316582915,0.9390116763969975,7,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.940990911062479,"[[7508, 491], [94, 1499]]",77.21146774291992
XGBoost (Core + Burnout),0.9365976145637163,0.9056145675265554,0.9837409054662906,0.8766157461809636,0.9675771476230192,7,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.9365923384791308,"[[7789, 210], [101, 1492]]",14.458516597747803
Logistic Regression (Core + Burnout),0.9348837209302325,0.6556383970177074,0.8865641274731331,0.5048439181916039,0.8345460651516847,7,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9348837209302326,"[[6048, 1380], [98, 1407]]",0.7829883098602295
XGBoost (Core + Interactions + Burnout),0.9322033898305084,0.8959276018099548,0.9804582446628805,0.8623693379790941,0.9640325271059216,6,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.9322036237455886,"[[7762, 237], [108, 1485]]",15.935606956481934
Decision Tree (Core + Interactions),0.9315756434400502,0.8775872264931993,0.9602835633801369,0.8295136948015651,0.9568390325271059,6,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2}",0.9315668066481338,"[[7694, 305], [109, 1484]]",3.8749165534973145
XGBoost (Core + Interactions),0.9309478970495919,0.9034419738044471,0.9802965405201701,0.8775147928994083,0.9669516263552961,6,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.9309457621103684,"[[7792, 207], [110, 1483]]",16.46406602859497
Decision Tree (Core + Interactions + Burnout),0.9303201506591338,0.8522139160437033,0.9551361842389745,0.7862068965517242,0.9464136780650542,6,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9303128881528361,"[[7596, 403], [111, 1482]]",3.6104817390441895
Random Forest (Core + Interactions + Burnout),0.9296924042686755,0.860796280151119,0.9738886459991428,0.8014069264069265,0.9500625521267723,6,"{'model__n_estimators': 100, 'model__min_samples_split': 3, 'model__min_samples_leaf': 2, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.929683957335226,"[[7632, 367], [112, 1481]]",86.7440721988678
Random Forest (Core + Interactions),0.9278091650973007,0.7785093494864367,0.9608974583844324,0.6705989110707804,0.9123227689741451,6,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 3, 'model__class_weight': 'balanced'}",0.9277991364523569,"[[7273, 726], [115, 1478]]",96.99123740196228
