satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,promotion_last_5years,burnout,actual,predicted,predicted_proba
0.3,0.67,3,232,3,0,False,0,1,0.9253218458566451
0.43,0.46,2,239,3,0,False,0,1,0.9253218458566451
0.76,0.93,3,271,5,0,False,0,1,0.9749618774277005
0.13,0.58,4,203,4,0,False,0,1,0.9253218458566451
0.8,0.63,5,180,5,0,False,1,0,0.14716136236944694
0.18,0.55,5,217,4,0,False,0,1,0.9253218458566451
0.52,0.92,5,280,6,0,False,0,1,0.9749618774277005
0.28,0.46,5,277,6,0,True,0,1,0.584368281533741
0.36,0.72,3,179,3,0,False,0,1,0.9253218458566451
0.89,0.83,5,130,4,0,False,1,0,0.09832017419596249
0.22,0.81,5,205,4,0,False,0,1,0.9253218458566451
0.39,0.75,5,286,5,0,False,0,1,0.584368281533741
0.84,0.84,6,261,5,0,False,0,1,0.9749618774277005
0.57,0.72,4,275,6,0,False,1,0,0.14716136236944694
0.31,0.62,2,139,3,0,False,0,1,0.9253218458566451
0.17,0.55,6,250,5,0,True,1,0,0.11821632260968286
0.61,0.83,5,269,5,0,False,0,1,0.9749618774277005
0.16,0.88,6,218,3,0,True,0,1,0.9253218458566451
0.41,0.96,5,167,3,0,False,0,1,0.9253218458566451
0.2,0.99,5,151,3,0,False,0,1,0.9253218458566451
0.78,0.66,3,164,3,0,False,1,0,0.023594171982899707
0.53,0.56,4,281,6,0,False,1,0,0.14716136236944694
0.13,0.72,3,244,4,0,True,0,1,0.9253218458566451
0.45,0.48,5,287,5,0,False,0,1,0.584368281533741
0.31,0.95,5,205,3,0,False,0,1,0.9253218458566451
0.45,0.87,2,268,4,0,False,0,1,0.9253218458566451
0.21,0.99,6,165,4,0,True,0,1,0.9253218458566451
0.8,0.98,2,232,6,0,False,0,1,0.9749618774277005
0.3,0.86,6,232,3,0,True,0,1,0.9253218458566451
0.23,0.48,3,139,4,0,False,0,1,0.9253218458566451
0.84,0.74,3,182,4,0,False,1,0,0.09832017419596249
0.54,0.74,4,164,2,0,False,1,0,0.023594171982899707
0.44,0.68,5,209,4,0,False,0,1,0.9253218458566451
0.38,0.5,2,170,3,0,False,0,1,0.9253218458566451
0.74,0.94,3,286,6,1,False,0,1,0.9749618774277005
0.4,0.72,3,204,4,0,False,0,1,0.9253218458566451
0.66,0.67,2,255,3,0,False,1,0,0.023594171982899707
0.48,0.57,4,270,4,0,False,1,0,0.09832017419596249
0.2,0.98,4,166,4,0,False,0,1,0.9253218458566451
0.31,0.56,4,238,2,0,False,1,0,0.0590597981379071
0.19,0.86,4,192,4,0,False,0,1,0.9253218458566451
0.25,0.68,4,279,5,0,True,0,1,0.584368281533741
0.15,0.78,5,255,3,0,True,0,1,0.9253218458566451
0.16,0.98,5,284,5,0,True,0,1,0.584368281533741
0.24,0.7,5,172,4,0,False,0,1,0.9253218458566451
0.18,0.86,5,267,4,0,True,0,1,0.9253218458566451
0.86,0.68,5,263,2,0,False,1,0,0.023594171982899707
0.37,0.48,2,285,5,0,False,0,1,0.584368281533741
0.26,0.47,6,182,4,0,True,0,1,0.9253218458566451
0.36,0.62,4,237,2,0,False,1,0,0.0590597981379071
0.18,0.95,6,248,3,0,True,0,1,0.9253218458566451
0.17,0.81,5,280,4,0,True,0,1,0.9253218458566451
0.45,0.64,5,133,4,0,False,0,1,0.9253218458566451
0.8,0.75,3,268,2,0,False,1,0,0.023594171982899707
0.19,0.6,5,198,4,0,False,0,1,0.9253218458566451
0.23,0.52,5,236,4,0,False,0,1,0.9253218458566451
0.36,0.95,3,206,4,0,False,0,1,0.9253218458566451
0.12,0.73,6,166,3,0,True,0,1,0.9253218458566451
0.32,0.69,6,192,3,0,False,0,1,0.9253218458566451
0.36,0.73,3,187,3,0,False,0,1,0.9253218458566451
0.36,0.45,2,135,3,0,False,0,1,0.9253218458566451
0.55,1.0,6,136,3,0,False,1,0,0.2845543277675256
0.15,0.81,5,280,3,0,True,0,1,0.9253218458566451
0.2,0.89,6,244,3,0,True,0,1,0.9253218458566451
0.81,0.98,5,243,6,0,False,0,1,0.9749618774277005
0.27,0.45,3,239,4,0,False,0,1,0.9253218458566451
0.48,0.97,3,224,6,0,False,0,1,0.9749618774277005
