satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,promotion_last_5years,burnout,actual,predicted,predicted_proba
0.28,0.45,6,218,4,0,True,1,0,0.10470355
0.43,0.46,2,239,3,0,False,0,1,0.9066474
0.76,0.93,3,271,5,0,False,0,1,0.92928064
0.8,0.63,5,180,5,0,False,1,0,0.34811714
0.52,0.92,5,280,6,0,False,0,1,0.85830975
0.89,0.83,5,130,4,0,False,1,0,0.1858435
0.82,0.56,2,227,5,0,False,0,1,0.7172762
0.83,0.54,4,259,5,0,False,0,1,0.713747
0.84,0.84,6,261,5,0,False,0,1,0.97134113
0.57,0.72,4,275,6,0,False,1,0,0.21866526
0.31,0.62,2,139,3,0,False,0,1,0.85883325
0.17,0.55,6,250,5,0,True,1,0,0.26109034
0.61,0.83,5,269,5,0,False,0,1,0.87091935
0.89,0.52,4,243,5,0,False,0,1,0.70233506
0.78,0.66,3,164,3,0,False,1,0,0.009796357
0.53,0.56,4,281,6,0,False,1,0,0.3266441
0.45,0.87,2,268,4,0,False,0,1,0.7629138
0.8,0.98,2,232,6,0,False,0,1,0.52873725
0.84,0.74,3,182,4,0,False,1,0,0.022789279
0.54,0.74,4,164,2,0,False,1,0,0.019461378
0.77,0.51,2,254,5,0,False,0,1,0.85435903
0.5,0.55,2,128,3,0,False,0,1,0.7691319
0.38,0.5,2,170,3,0,False,0,1,0.75153255
0.43,0.46,2,186,2,0,False,0,1,0.68963265
0.74,0.94,3,286,6,1,False,0,1,0.5015528
0.66,0.67,2,255,3,0,False,1,0,0.06750904
0.4,0.86,2,264,5,0,False,0,1,0.73546255
0.48,0.57,4,270,4,0,False,1,0,0.13691142
0.31,0.56,4,238,2,0,False,1,0,0.076430924
0.38,0.94,5,252,5,0,False,0,1,0.7633976
0.83,0.55,5,261,5,0,False,0,1,0.8303129
0.68,0.75,6,274,5,0,False,0,1,0.68790656
0.86,0.68,5,263,2,0,False,1,0,0.023198701
0.37,0.48,2,285,5,0,False,0,1,0.53536654
0.36,0.62,4,237,2,0,False,1,0,0.11381058
0.63,1.0,5,241,4,0,False,0,1,0.53404504
0.17,0.81,5,280,4,0,True,0,1,0.5068838
0.83,0.93,6,130,5,0,False,0,1,0.7490294
0.45,0.64,5,133,4,0,False,0,1,0.8014724
0.8,0.75,3,268,2,0,False,1,0,0.01445643
0.23,0.7,5,168,4,0,False,1,0,0.060210932
0.57,0.61,5,254,5,0,False,0,1,0.5284809
0.36,0.45,2,135,3,0,False,0,1,0.98263955
0.81,0.98,5,243,6,0,False,0,1,0.9475776
0.85,0.55,4,158,5,0,False,0,1,0.5108003
0.36,0.68,2,126,4,0,False,0,1,0.644868
0.78,0.45,4,128,2,0,False,1,0,0.0088067455
0.79,0.9,5,212,5,0,False,0,1,0.7973445
0.46,0.55,5,261,5,0,False,0,1,0.5657873
0.39,0.68,2,137,3,0,False,0,1,0.9258474
0.41,0.71,3,205,4,0,False,1,0,0.22546002
0.64,0.99,5,262,5,0,False,0,1,0.8379834
0.84,0.98,4,134,5,0,False,0,1,0.8981761
0.34,0.78,5,137,4,0,False,0,1,0.6444566
0.31,1.0,4,177,5,0,False,0,1,0.51442844
0.36,0.82,4,218,5,0,False,0,1,0.5465478
0.7,0.84,6,161,4,0,False,1,0,0.20017658
0.34,0.88,5,131,6,0,False,0,1,0.5643755
0.85,0.82,6,141,5,0,False,0,1,0.7612066
0.9,0.87,4,231,5,0,False,0,1,0.96259964
0.67,0.52,2,152,5,0,False,0,1,0.8461998
0.89,0.46,4,248,5,0,False,0,1,0.8071776
0.23,0.99,4,204,4,0,False,1,0,0.05151527
0.55,0.81,4,267,5,0,False,0,1,0.63827306
0.58,0.62,4,238,3,0,False,1,0,0.024099883
0.66,0.57,5,161,5,0,False,1,0,0.16671729
0.37,0.85,2,185,3,0,False,0,1,0.6236385
0.49,0.86,5,235,5,0,False,0,1,0.8718225
0.13,0.74,6,132,4,0,True,0,1,0.79039514
0.36,0.78,6,151,3,0,False,0,1,0.611681
0.6,0.85,3,250,2,0,False,1,0,0.05471969
0.3,0.47,2,159,4,0,False,0,1,0.858029
0.48,0.56,2,151,3,0,False,0,1,0.75768816
0.75,1.0,4,135,4,0,False,0,1,0.6555649
0.85,0.96,5,165,5,0,False,0,1,0.78911054
0.25,0.46,4,214,4,0,False,1,0,0.13525413
0.6,0.86,6,247,6,0,False,0,1,0.7077621
0.64,0.9,5,279,5,0,False,0,1,0.9168939
0.89,0.87,2,270,6,0,False,0,1,0.80097127
