model,recall,f1,roc_auc,precision,accuracy,features,best_params,cv_best_score,conf_matrix,search_time
XGBoost with Binning,0.9365976145637163,0.90616459155785,0.9850686373461467,0.8776470588235294,0.9677856547122602,26,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.936594310049092,"[[7791, 208], [101, 1492]]",26.61576533317566
XGBoost with Binning (feature selection),0.935969868173258,0.9116478141241211,0.9845341621877248,0.8885578069129917,0.9698707256046706,14,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.9359653792314819,"[[7812, 187], [102, 1491]]",18.45388698577881
Decision Tree with Binning (feature selection),0.9353421217827997,0.8997584541062801,0.9595229143128139,0.8667830133798721,0.9653878231859884,14,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9353305337039884,"[[7770, 229], [103, 1490]]",5.850950717926025
XGBoost with Flags (feature selection),0.9353421217827997,0.9143909174593433,0.9836561098699796,0.8943577430972389,0.9709132610508757,9,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 5, 'model__reg_alpha': 1, 'model__n_estimators': 300, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.9353344768439108,"[[7823, 176], [103, 1490]]",15.118323802947998
XGBoost with Flags,0.9347143753923415,0.9118187385180649,0.9859019963810605,0.8900179318589361,0.9699749791492911,21,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.9347094891662231,"[[7815, 184], [104, 1489]]",21.695929050445557
XGBoost with Interaction,0.9340866290018832,0.9179518815545961,0.9832508096782656,0.9023650697392359,0.9722685571309424,22,"{'model__subsample': 0.8, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 5, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.9340766152086907,"[[7838, 161], [105, 1488]]",28.74272108078003
Decision Tree with Binning,0.9340866290018832,0.8963855421686747,0.956222988325518,0.861609727851766,0.9641367806505421,26,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9340766152086907,"[[7760, 239], [105, 1488]]",5.985100507736206
Decision Tree with Interaction,0.933458882611425,0.8703541117939714,0.9604037918424674,0.8152412280701754,0.9538156797331109,22,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2}",0.9334496559610418,"[[7662, 337], [106, 1487]]",6.9238786697387695
Decision Tree with Interaction (feature selection),0.9328311362209667,0.861199652274703,0.9576690259540445,0.7997847147470398,0.9500625521267723,10,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2}",0.9328246682833541,"[[7627, 372], [107, 1486]]",7.162723064422607
XGBoost with Interaction (feature selection),0.9315756434400502,0.9174652241112828,0.9832347216660087,0.9037758830694276,0.9721643035863219,10,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.9315687782180951,"[[7841, 158], [109, 1484]]",17.93512511253357
Decision Tree with Flags,0.9309478970495919,0.8780343398460628,0.9660757971394259,0.830812324929972,0.9570475396163469,21,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9309418189704461,"[[7697, 302], [110, 1483]]",4.085205078125
Random Forest with Interaction (feature selection),0.9303201506591338,0.8676814988290398,0.9758689233517654,0.8129456939111355,0.9528773978315263,10,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.9303109165828749,"[[7658, 341], [111, 1482]]",172.35302639007568
Decision Tree with Flags (feature selection),0.9296924042686755,0.8812853317465041,0.9652841492192173,0.8376696832579186,0.9584028356964137,9,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9296859289051872,"[[7712, 287], [112, 1481]]",3.7593040466308594
Random Forest with Interaction,0.9296924042686755,0.8673499267935577,0.9759236225934393,0.8128430296377607,0.9527731442869057,22,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.9296819857652648,"[[7658, 341], [112, 1481]]",197.8698410987854
Random Forest with Flags,0.9290646578782172,0.8023854703171592,0.9731687270701682,0.7061068702290076,0.923999165971643,21,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_samples': 0.7, 'model__max_features': 1.0, 'model__max_depth': 3, 'model__class_weight': 'balanced'}",0.9290412255278879,"[[7383, 616], [113, 1480]]",82.22061729431152
Random Forest with Flags (feature selection),0.9290646578782172,0.8023854703171592,0.9730445354633548,0.7061068702290076,0.923999165971643,9,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_samples': 0.7, 'model__max_features': 1.0, 'model__max_depth': 3, 'model__class_weight': 'balanced'}",0.9290412255278879,"[[7383, 616], [113, 1480]]",74.48140859603882
Random Forest with Binning (feature selection),0.928436911487759,0.9166408428881314,0.9749754893247407,0.905140758873929,0.9719557964970809,14,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.9284320104098894,"[[7844, 155], [114, 1479]]",78.624338388443
Random Forest with Binning,0.9278091650973007,0.9163050216986982,0.9747555936645251,0.9050826699326393,0.9718515429524603,26,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.9278050511622405,"[[7844, 155], [115, 1478]]",104.34090304374695
